"","de","a","ligero","profundo","despierto","despertar","tiempo_de_dormir","tiempo_de_despertar","roncar"
"111",2019-05-24 23:30:00,2019-05-25 08:27:00,15480,14760,1980,1,360,840,0
"112",2019-05-25 23:04:00,2019-05-26 05:51:00,10800,12361,1259,3,0,0,0
"113",2019-05-26 22:24:00,2019-05-27 04:39:00,12780,9360,360,0,360,0,0
"114",2019-05-27 20:24:00,2019-05-28 05:44:00,15239,13801,4560,4,1320,0,0
"115",2019-05-29 21:54:00,2019-05-30 02:48:00,5700,11160,780,2,0,0,0
"116",2019-05-31 22:50:00,2019-06-01 06:28:00,13440,12720,1320,1,180,660,0
"117",2019-06-01 22:33:00,2019-06-02 05:42:00,11760,12480,780,2,0,2,0
"118",2019-06-07 21:04:00,2019-06-08 05:04:00,13560,14040,1200,2,0,0,0
"119",2019-06-08 22:05:00,2019-06-09 07:21:00,16260,16200,900,1,300,60,0
"120",2019-06-09 23:02:00,2019-06-10 05:08:00,9420,11460,1080,2,0,0,0
"121",2019-06-10 20:39:00,2019-06-11 04:30:00,14220,12360,1680,3,300,0,0
"122",2019-06-11 21:12:00,2019-06-12 06:37:00,12480,18540,2880,1,1620,660,0
"123",2019-06-12 22:08:00,2019-06-13 05:16:00,12240,11220,2220,3,360,0,0
"124",2019-06-13 22:59:00,2019-06-14 05:13:00,11340,10740,360,0,360,0,0
"125",2019-06-14 23:14:00,2019-06-15 07:45:00,16680,13080,900,2,0,0,0
"126",2019-06-15 22:56:00,2019-06-16 06:54:00,15960,11760,960,2,0,360,0
"127",2019-06-17 21:04:00,2019-06-18 05:19:00,18300,10200,1200,2,360,60,0
"128",2019-06-18 23:04:00,2019-06-19 04:37:00,8640,10500,840,0,360,480,0
"129",2019-06-19 22:17:00,2019-06-20 05:31:00,11160,11880,3000,4,360,60,0
"131",2019-06-21 19:41:00,2019-06-22 01:22:00,11700,8640,120,0,120,0,0
"132",2019-06-22 04:53:00,2019-06-22 08:09:00,5160,6540,60,0,0,60,0
"133",2019-06-22 22:44:00,2019-06-23 04:32:00,12541,8159,180,0,180,0,0
"134",2019-06-23 23:12:00,2019-06-24 05:29:00,11760,9780,1080,3,60,0,0
"135",2019-06-26 02:08:00,2019-06-26 04:45:00,5340,3960,120,0,120,0,0
"136",2019-06-26 23:58:00,2019-06-27 04:16:00,7380,7620,300,2,0,0,0
"138",2019-06-28 23:07:00,2019-06-29 02:00:00,6000,4380,0,0,0,0,0
"139",2019-07-12 23:48:00,2019-07-13 06:25:00,10140,12900,780,1,180,0,0
"140",2019-07-17 23:08:00,2019-07-18 05:31:00,9540,11460,1980,2,360,0,0
"141",2019-07-18 21:46:00,2019-07-19 05:16:00,10320,13740,2940,5,480,240,0
"142",2019-07-19 23:27:00,2019-07-20 06:54:00,9840,15480,1500,2,240,180,0
"143",2019-07-20 21:08:00,2019-07-21 00:42:00,3960,8220,660,1,60,240,0
"144",2019-07-21 02:46:00,2019-07-21 06:55:00,10679,4080,181,0,61,120,0
"145",2019-07-21 20:38:00,2019-07-22 05:11:00,12419,13980,4381,5,781,0,0
"146",2019-07-22 22:46:00,2019-07-23 05:12:00,8700,14340,120,0,0,120,0
"147",2019-07-23 22:26:00,2019-07-24 06:31:00,13800,14220,1080,0,840,240,0
"148",2019-07-24 23:03:00,2019-07-25 06:15:00,12480,11220,2220,4,360,0,0
"149",2019-07-25 23:05:00,2019-07-26 07:05:00,14160,12000,2640,5,0,180,0
"150",2019-07-26 22:02:00,2019-07-27 06:35:00,14700,14460,1620,3,60,0,0
"151",2019-07-27 22:26:00,2019-07-28 05:21:00,9840,14460,600,0,180,420,0
"152",2019-07-28 23:01:00,2019-07-29 05:25:00,12180,9540,1320,2,360,60,0
"153",2019-07-30 21:09:00,2019-07-31 06:04:00,12780,18420,900,0,360,540,0
"154",2019-07-31 21:51:00,2019-08-01 05:53:00,13020,14940,960,2,60,180,0
"155",2019-08-01 23:13:00,2019-08-02 06:30:00,13380,11640,1200,2,0,0,0
"156",2019-08-02 22:33:00,2019-08-03 07:13:00,15540,14460,1200,0,420,780,0
"157",2019-08-03 23:19:00,2019-08-04 06:26:00,15240,9960,420,0,360,60,0
"158",2019-08-04 21:06:00,2019-08-05 06:47:00,18180,15060,1620,2,0,120,0
