"Name","Frequency"
"MAGGIE",33
"MAKENNA",33
"RAINA",33
"ALISHA",32
"ALIZA",32
"DAHLIA",32
"FELICITY",32
"KELLY",32
"KIRA",32
"LIVIA",32
"LOLA",32
"MARGOT",32
"MARIAH",32
"PRESLEY",32
"TENLEY",32
"ANDREA",31
"ANGEL",31
"ARIELLA",31
"DANIELA",31
"ELISABETH",31
"MELINA",31
"RYLEIGH",31
"AMINA",30
"APRIL",30
"BEATRICE",30
"CAMILLE",30
"CELINE",30
"DANICA",30
"EMERSON",30
"ERICA",30
"EVIE",30
"LOGAN",30
"SKYE",30
"ADA",29
"BLAKELY",29
"CAMILLA",29
"DANIKA",29
"HALEY",29
"JILLIAN",29
"KATRINA",29
"LACEY",29
"MELISSA",29
"MYAH",29
"PHOENIX",29
"SYEDA",29
"ALLIE",28
"ANNIKA",28
"AUDRINA",28
"CALI",28
"FRANCESCA",28
"HELENA",28
"KENDALL",28
"LONDON",28
"LUCIA",28
"SALMA",28
"SEERAT",28
"SIMONE",28
"AARYA",27
"ALIA",27
"AYA",27
"ESME",27
"HARLEY",27
"HARMONY",27
"KENDRA",27
"KINLEY",27
"LEONA",27
"MALLORY",27
"MAVIS",27
"NAYA",27
"PAISLEE",27
"RUTH",27
"SANA",27
"TIA",27
"ZOÉ",27
"ADELE",26
"ADELYNN",26
"EVERLEY",26
"HAFSA",26
"JANA",26
"JOSIE",26
"JUDY",26
"JUNE",26
"KAYLEIGH",26
"LINA",26
"LIV",26
"LOUISE",26
"MEREDITH",26
"PEARL",26
"AANYA",25
"ALANA",25
"CYNTHIA",25
"ELYSE",25
"IZABELLA",25
"JESSIE",25
"JORDAN",25
"KAILEY",25
"KYRA",25
"LEXIE",25
"RAYA",25
"SAFA",25
"ANGELICA",24
"BRIDGET",24
"CARMEN",24
"CHIARA",24
"ELAINA",24
"EMERY",24
"EMMY",24
"GLORIA",24
"KALI",24
"KIMBERLY",24
"KRISTINA",24
"LISA",24
"MIRANDA",24
"NYLAH",24
"TARA",24
"ALAINA",23
"ALISON",23
"DYLAN",23
"ESHAAL",23
"GIANNA",23
"GIULIANA",23
"HUNTER",23
"JAYLA",23
"JEMMA",23
"JULIE",23
"KAIYA",23
"MACY",23
"MANNAT",23
"MIRIAM",23
"ROSA",23
"RYLIE",23
"SAMARA",23
"SELINA",23
"WILLA",23
"AIZA",22
"ALESSANDRA",22
"BETHANY",22
"BRIELLA",22
"CHARLEIGH",22
"CHARLEY",22
"CLARE",22
"CLAUDIA",22
"EMILIE",22
"FATIMAH",22
"FAYE",22
"GISELLE",22
"GWEN",22
"INAYA",22
"LILIAN",22
"MACI",22
"MARIE",22
"MARISSA",22
"MILLIE",22
"MIYA",22
"NIA",22
"RYAN",22
"SCARLET",22
"ADDISYN",21
"DAKOTA",21
"EMBER",21
"GRACELYN",21
"HALLE",21
"INAAYA",21
"JADA",21
"KIANA",21
"MABEL",21
"MARA",21
"MEERA",21
"MILANA",21
"RORY",21
"SAVANNA",21
"SEHAJ",21
"SIMONA",21
"THALIA",21
"WINTER",21
"YASMINE",21
"YUSRA",21
"ADDILYN",20
"ASIYA",20
"AVIANA",20
"BLAIR",20
"BRAELYNN",20
"CAMRYN",20
"DALIA",20
"ELLIOTT",20
"KARINA",20
"KATHRYN",20
"LEA",20
"RAELYNN",20
"ROBYN",20
"RYANN",20
"SAOIRSE",20
"SKYLA",20
"SYLVIA",20
"YARA",20
"AILA",19
"ANAYAH",19
"AYAH",19
"CANDICE",19
"CARA",19
"CELIA",19
"EDITH",19
"IRENE",19
"LENNOX",19
"MARINA",19
"MARWA",19
"REAGAN",19
"RITA",19
"ALEXANDRIA",18
"BRAELYN",18
"CASEY",18
"CELINA",18
"DIYA",18
"DOROTHY",18
"ELAINE",18
"ELLIOT",18
"EMAAN",18
"EMELIA",18
"EMERSYN",18
"ESTELLE",18
"ISOBEL",18
"JAZMINE",18
"JOELLE",18
"JOLENE",18
"LIYANA",18
"MAE",18
"MAKENZIE",18
"MALAK",18
"MEADOW",18
"NOA",18
"RANIA",18
"RAVEN",18
"ROSIE",18
"RYLAN",18
"SAGE",18
"SASHA",18
"SIA",18
"SPENCER",18
"TIANA",18
"WREN",18
"YASMIN",18
"AIZAH",17
"ALMA",17
"ANDIE",17
"AVERIE",17
"AYANA",17
"AZALEA",17
"BRONWYN",17
"CALLA",17
"CARLY",17
"CIARA",17
"ELLIANA",17
"ELLIS",17
"ÉMILIE",17
"ERIKA",17
"HAREEM",17
"HEAVEN",17
"HELEN",17
"JOYCE",17
"JUNIPER",17
"KATERINA",17
"KAYDENCE",17
"LEEN",17
"MARLOWE",17
"MINA",17
"NATASHA",17
"PENNY",17
"PRISHA",17
"SHANIA",17
"TIANNA",17
"AMÉLIE",16
"ANIYA",16
"ASTRID",16
"AYAT",16
"CAMERON",16
"CARTER",16
"CHRISTINE",16
"CLEMENTINE",16
"EMMELINE",16
"EVELYNN",16
"FRANKIE",16
"HENLEY",16
"ISRA",16
"JIYA",16
"JOANNE",16
"KRISHA",16
"LEANNE",16
"LILIA",16
"LORELEI",16
"LYLAH",16
"MADILYN",16
"MARTHA",16
"MAXINE",16
"NADINE",16
"PRIYA",16
"SANDRA",16
"SARINA",16
"SHARON",16
"SHELBY",16
"SIMRAN",16
"TERESA",16
"ADDILYNN",15
"ADELINA",15
"AMAL",15
"AMELIE",15
"ANDI",15
"ANNE",15
"ASHLYN",15
"ASHLYNN",15
"ASPEN",15
"AURELIA",15
"AVAH",15
"AVNEET",15
"CALISTA",15
"CATALINA",15
"DEANNA",15
"DELANEY",15
"EDIE",15
"EILEEN",15
"ELINA",15
"ÉLODIE",15
"FARAH",15
"FLORA",15
"GENESIS",15
"HARLYN",15
"IMANI",15
"JANELLE",15
"KAELYN",15
"KATARINA",15
"KAYA",15
"KHADIJA",15
"KHADIJAH",15
"LEIGHTON",15
"MADINA",15
"MALIYAH",15
"MARILYN",15
"MCKENZIE",15
"MCKINLEY",15
"MONROE",15
"NAVYA",15
"REBEKAH",15
"REINA",15
"REMY",15
"ROSEMARY",15
"SCARLETTE",15
"SKYLER",15
"SORAYA",15
"ZARAH",15
"ALEEZA",14
"ALEKSANDRA",14
"ALENA",14
"ALEXIE",14
"ALORA",14
"AMNA",14
"ANABIA",14
"ANITA",14
"ANTONIA",14
"ARYANNA",14
"BÉATRICE",14
"BLAIRE",14
"CORALIE",14
"CORDELIA",14
"DANIA",14
"DEBORAH",14
"ELIANNA",14
"ELODIE",14
"GRACELYNN",14
"JAZLYN",14
"KAREN",14
"KASSANDRA",14
"KATHLEEN",14
"LAMAR",14
"LEANNA",14
"LEENA",14
"LEXA",14
"LIYA",14
"MAISY",14
"MAJA",14
"MARIANA",14
"MARLEE",14
"MEGHAN",14
"MINAHIL",14
"MONICA",14
"NANCY",14
"PAITYN",14
"PETRA",14
"RAELYN",14
"RAYNE",14
"REET",14
"REYA",14
"ROBIN",14
"SAFIYA",14
"SAHAR",14
"SANAYA",14
"SHILOH",14
"TALA",14
"ZARIAH",14
"ABBEY",13
"ABBIGAIL",13
"ALISA",13
"AMANI",13
"ANIYAH",13
"ARYANA",13
"AUBRIE",13
"AVIANNA",13
"AYRA",13
"AYVA",13
"BLYTHE",13
"DAYA",13
"EMA",13
"EMMANUELLE",13
"EVERLEE",13
"FARIDA",13
"FARRAH",13
"GURNOOR",13
"HADASSAH",13
"IQRA",13
"IRELAND",13
"JAMIE",13
"JAYDEN",13
"JOHANNA",13
"KYLEE",13
"LEYLA",13
"LORELAI",13
"LUCIANA",13
"LYRA",13
"NEVE",13
"NIMRAT",13
"NOLA",13
"PRISCILLA",13
"RACHAEL",13
"SAKINA",13
"SAMA",13
"SHANNON",13
"STEVIE",13
"TAYA",13
"TINA",13
"ZAYNAB",13
"ZURI",13
"AGNES",12
"AIMEE",12
"ALANNA",12
"ALEAH",12
"ALISSA",12
"AMIYAH",12
"AVLEEN",12
"BEATRIX",12
"BREANNA",12
"BRIA",12
"CAITLIN",12
"CAITLYN",12
"DESIREE",12
"ELIA",12
"ÉLOÏSE",12
"ESMÉ",12
"GRETA",12
"HADIA",12
"HALLIE",12
"HARRIET",12
"HAWA",12
"HEATHER",12
"HIBA",12
"HOORAIN",12
"IMAN",12
"INAYAH",12
"IZABELLE",12
"JANESSA",12
"JANICE",12
"JASLEEN",12
"JAYDE",12
"JUDITH",12
"KAYLIE",12
"LAYAN",12
"LILLIANA",12
"LUCILLE",12
"MACIE",12
"MIKA",12
"NILA",12
"OAKLEY",12
"PAULINA",12
"QUEENIE",12
"RAEGAN",12
"RENEE",12
"SAMIRA",12
"SHAYLA",12
"SHYLA",12
"SIYA",12
"SUSIE",12
"TALYA",12
"TAMARA",12
"TENZIN",12
"VICKY",12
"VIOLETTE",12
"ADDYSON",11
"ALLYSON",11
"ALYSON",11
"AMINAH",11
"AMIRAH",11
"ANNABEL",11
"ANTONELLA",11
"ARIYAH",11
"ARWEN",11
"AVELINE",11
"AYEZA",11
"BAHAR",11
"BAYLEE",11
"CARINA",11
"CASSIE",11
"CATALEYA",11
"CECELIA",11
"CHANTELLE",11
"COURTNEY",11
"DARYA",11
"DAVINA",11
"DUA",11
"ELISHA",11
"ELLY",11
"ESMÉE",11
"EVELINA",11
"GILLIAN",11
"GWENYTH",11
"HUSNA",11
"IMOGEN",11
"ISHA",11
"JANNAH",11
"JANNAT",11
"JASMIN",11
"JAYDA",11
"JESSA",11
"JOEY",11
"KALEY",11
"KASSIDY",11
"KENNA",11
"KRISTEN",11
"LAINEY",11
"LAURYN",11
"LILIANNA",11
"LILYANNA",11
"LOUISA",11
"MACKENNA",11
"MADYSON",11
"MANREET",11
"MILANIA",11
"NELLY",11
"NYAH",11
"PIA",11
"PYPER",11
"RAHMA",11
"REEM",11
"REMI",11
"SAIGE",11
"SARGUN",11
"SUTTON",11
"TATIANA",11
"ZAINA",11
"ZENDAYA",11
"ZOHA",11
"ABRIELLE",10
"ADDELYN",10
"ADINA",10
"ADIRA",10
"ADRIENNE",10
"AIYANA",10
"ALAYA",10
"ALIANA",10
"AMILIA",10
"ANABELLE",10
"ANJALI",10
"AOIFE",10
"ARIANNE",10
"ASEES",10
"AVALYN",10
"AYANNA",10
"BEATRIZ",10
"BERKELEY",10
"BRIANNE",10
"CAROLYN",10
"CECILY",10
"CHANEL",10
"CHARLIZE",10
"CONSTANCE",10
"CRYSTAL",10
"DEEMA",10
"DEMI",10
"DEVON",10
"DINA",10
"EDNA",10
"ELISSA",10
"ELLEN",10
"EMERALD",10
"EMMERSON",10
"FERN",10
"FINNLEY",10
"GEORGINA",10
"GIADA",10
"HAILEE",10
"HAVEN",10
"HILLARY",10
"HOLLAND",10
"ILA",10
"IVORY",10
"IYLA",10
"KALIYAH",10
"KALLIE",10
"KARISSA",10
"KELSEY",10
"KEZIAH",10
"KLARA",10
"LILITH",10
"LYRIC",10
"MADDIE",10
"MADELYNN",10
"MADILYNN",10
"MAËLLE",10
"MAEVA",10
"MALAIKA",10
"MALAYA",10
"MALINA",10
"MANHA",10
"MAREN",10
"MARIANNE",10
"MARTINA",10
"MERCY",10
"NAHLA",10
"NELLIE",10
"NIKI",10
"NYA",10
"REYNA",10
"ROSALYN",10
"RUHI",10
"SADAF",10
"SAKURA",10
"SELIN",10
"SOFIE",10
"VALERIA",10
"VEDA",10
"WINNIE",10
"YASMEEN",10
"ZAYNA",10
"ABBYGAIL",9
"ADELA",9
"ADÈLE",9
"ADLEY",9
"AILEEN",9
"AIYANNA",9
"AKIRA",9
"AKSHAYA",9
"ALLEGRA",9
"ALYA",9
"ALYSSIA",9
"AMARI",9
"AMAYAH",9
"AMEERA",9
"AMÉLIA",9
"AMREEN",9
"ANANYA",9
"ANISHA",9
"ARDEN",9
"ARISSA",9
"ASHA",9
"AVALON",9
"AVNOOR",9
"AZARIAH",9
"BLAYKE",9
"BRIE",9
"CASSIA",9
"CIERRA",9
"CINDY",9
"DARIA",9
"ELIN",9
"EMAN",9
"ESMERALDA",9
"ETTA",9
"EUNICE",9
"FINLEIGH",9
"GIULIA",9
"GWYNETH",9
"HADIYA",9
"HANIA",9
"HARLEE",9
"HAYLEE",9
"HAYLIE",9
"HUDA",9
"ISADORA",9
"JAIME",9
"JIA",9
"JOLIE",9
"JOVIE",9
"KARLEE",9
"KATIA",9
"KAVYA",9
"KENLEY",9
"KENSINGTON",9
"LAIBA",9
"LAURENCE",9
"LEILANI",9
"LENI",9
"LINDA",9
"LINDSAY",9
"MAHIRA",9
"MARION",9
"MELIA",9
"MERCEDES",9
"MICAELA",9
"MISHA",9
"MORIAH",9
"MYRAH",9
"NALA",9
"NATHALIE",9
"NIKA",9
"NIKKI",9
"NOEMI",9
"NOÉMIE",9
"NOUR",9
"OAKLYN",9
"OVIYA",9
"PATRICIA",9
"PRECIOUS",9
"RAMONA",9
"REHMAT",9
"REMINGTON",9
"RIPLEY",9
"ROSELYN",9
"ROSLYN",9
"ROWYN",9
"SAANVI",9
"SAFIYYAH",9
"SAVREEN",9
"SERENE",9
"SHAY",9
"SHAYNA",9
"SHREYA",9
"SIRAT",9
"SYLVIE",9
"TANISHA",9
"TORI",9
"VADA",9
"VAYDA",9
"VERONIKA",9
"VIKTORIA",9
"WYNTER",9
"ZELDA",9
"ZIA",9
"AADHYA",8
"AAHANA",8
"ALAYAH",8
"ALEEN",8
"ALYVIA",8
"AMALIA",8
"AMEERAH",8
"ANABELLA",8
"ANAIYA",8
"ANN",8
"ANNALISE",8
"ARIADNE",8
"ASIA",8
"AUDRA",8
"AVIA",8
"BAANI",8
"BELLAMY",8
"BLESSING",8
"BRIANA",8
"BRYNLEY",8
"CARLA",8
"CARMELA",8
"CARYS",8
"CHARLI",8
"CHAYA",8
"CHELSEY",8
"CHLOË",8
"CLAIRA",8
"COLETTE",8
"DANYA",8
"DARCY",8
"DELIA",8
"DELPHINE",8
"DIVINE",8
"DOMINIQUE",8
"ELENI",8
"ÉLISE",8
"ELOÏSE",8
"FATEMA",8
"FELICIA",8
"GIOVANNA",8
"HAFSAH",8
"HALA",8
"HARNOOR",8
"HAYA",8
"IDA",8
"INDIANA",8
"IRA",8
"IRHA",8
"JAYA",8
"JEAN",8
"JULIANNE",8
"JUNO",8
"KAIRI",8
"KAMRYN",8
"KAROLINA",8
"KASEY",8
"KRYSTAL",8
"LAKSHMI",8
"LAYLAH",8
"LEELA",8
"LIANNA",8
"LONDYN",8
"LORENA",8
"LUCIE",8
"MACEY",8
"MAGDALENA",8
"MAIRA",8
"MALIKA",8
"MIAH",8
"MICHELA",8
"MONA",8
"NAILA",8
"NAWAL",8
"NERIAH",8
"NITYA",8
"NOORA",8
"PARIS",8
"PIPPA",8
"RAE",8
"RAYAH",8
"RIA",8
"ROMY",8
"ROSALEE",8
"ROSALIND",8
"SELAH",8
"SHAM",8
"SIMRAT",8
"SOLEIL",8
"SONYA",8
"SUNNY",8
"SYBIL",8
"THERESA",8
"TRUDY",8
"VAIDA",8
"VALENCIA",8
"VIANNA",8
"VIVIEN",8
"WINIFRED",8
"YANA",8
"ZAYNAH",8
"ZOIE",8
"AAIRAH",7
"AAMINAH",7
"AARIA",7
"ABBIE",7
"ADELLE",7
"AGANETHA",7
"AKSHARA",7
"ALANNAH",7
"ALBA",7
"ALEESA",7
"ALLY",7
"ALTHEA",7
"AMIA",7
"ANGIE",7
"ANISA",7
"ARABELLE",7
"ARIANE",7
"ARISHA",7
"ARWYN",7
"ASMA",7
"AUGUST",7
"AVANI",7
"AYLIN",7
"AZRA",7
"BAILEE",7
"BILLIE",7
"BRENNA",7
"BRYNLEIGH",7
"CATHY",7
"CHARLENE",7
"CHEYENNE",7
"CLARKE",7
"CORALINE",7
"DENISE",7
"DIVYA",7
"DORIS",7
"EILA",7
"ELAYNA",7
"ELEANA",7
"ELINOR",7
"ELLENA",7
"ELLIA",7
"ELLIOTTE",7
"ELYSSA",7
"EMILEE",7
"EMMALYN",7
"ESRA",7
"EVALYN",7
"EVANA",7
"EVANGELINA",7
"EVELYNE",7
"GELILA",7
"GUNEET",7
"HARLYNN",7
"ILYANA",7
"IMAAN",7
"INARA",7
"ISABELL",7
"JAPNEET",7
"JEMIMA",7
"JORDANA",7
"JOVANA",7
"JUDE",7
"JUSTINA",7
"KAILYN",7
"KAMILA",7
"KARLA",7
"KAYLYN",7
"KYLEIGH",7
"LIELLE",7
"LILIANE",7
"LILLIE",7
"LILY-ANN",7
"LOVINA",7
"MAGALIE",7
"MAGNOLIA",7
"MAHA",7
"MAHEEN",7
"MALIYA",7
"MANDY",7
"MARIANNA",7
"MARISA",7
"MARLOW",7
"MATTEA",7
"MAYAH",7
"MEHER",7
"MELANIA",7
"MELODIE",7
"NAIA",7
"NAIYA",7
"NAVA",7
"NIKITA",7
"NIYA",7
"NYRA",7
"ORLY",7
"PHILIPPA",7
"PORTIA",7
"PRINCESS",7
"RAINE",7
"REIGN",7
"RUBANI",7
"SABINA",7
"SAHARA",7
"SAIRA",7
"SALWA",7
"SAMAR",7
"SAMIA",7
"SANIA",7
"SAVANAH",7
"SCOTLYN",7
"SCOTTIE",7
"SELENE",7
"SERAFINA",7
"SERAPHINA",7
"SHAE",7
"SHAELYN",7
"TABITHA",7
"TALIYAH",7
"TASNEEM",7
"TEGAN",7
"TESS",7
"VIOLA",7
"VIRGINIA",7
"WAVERLY",7
"YVONNE",7
"ZADIE",7
"ZAIRA",7
"ZEHRA",7
"AARIYAH",6
"AARNA",6
"AAROHI",6
"AARUSHI",6
"AAVYA",6
"ADORA",6
"ALAIA",6
"ALESHA",6
"ALESSA",6
"ALEX",6
"ALI",6
"ALYSHA",6
"AMARIS",6
"ANAÏS",6
"ARIELA",6
"ARINA",6
"ARTEMIS",6
"AURÉLIE",6
"AVELYN",6
"AYSHA",6
"BABY",6
"BARBARA",6
"BATOOL",6
"BREE",6
"BRENDA",6
"BRISTOL",6
"CAROL",6
"CIANNA",6
"CORAL",6
"CRISTINA",6
"DALLAS",6
"DEVINA",6
"DEVYN",6
"DUAA",6
"DUNYA",6
"EESHA",6
"ELA",6
"ELEANORA",6
"ELIF",6
"ELOWEN",6
"ELOWYN",6
"ELYSIA",6
"ESHAL",6
"ESTELLA",6
"EVALINA",6
"ÈVE",6
"FATMA",6
"FREYJA",6
"GENEVA",6
"GENEVIÈVE",6
"GIANA",6
"GRETCHEN",6
"GUINEVERE",6
"GUREET",6
"HABIBA",6
"HAJAR",6
"HANAN",6
"HARGUN",6
"HARLEIGH",6
"HAVANA",6
"HEAVENLY",6
"HENSLEY",6
"HILARY",6
"INAAYAH",6
"INDIE",6
"ISABELA",6
"IVANA",6
"IZABEL",6
"JAELYN",6
"JANAYA",6
"JAPLEEN",6
"JAPNOOR",6
"JAYNA",6
"JAZMYN",6
"JEANNE",6
